Book,AverageRating
140245162,7.4
140245251,9
140245316,5
140245324,7
140245480,6.4444447
140245510,6
140245529,4
140245596,7
014024574X,8
140245766,8
140245774,6.5
140246274,7
140246495,6
140246517,7
014024669X,6.75
140246835,7.5
140246940,7
140246975,7
140246983,7
140247025,8
140247092,7
140247114,7
140247300,8.666667
140247548,7.5
140247599,10
014024770X,7
140247750,8.333333
140247793,7
140247939,7
140247998,5
140248005,8
140248110,9
140248307,8
140248811,9
140248889,5
140248927,7.5
140249001,8
140249265,7.3333335
140249281,8.5
140249508,6.5
140249532,5
140249729,10
014024980X,9
140249850,9
140249990,6.6
140250123,6
140250131,7
014025031X,5
140250328,6
140250360,6
140250379,7.6666665
140250395,6
140250409,6
140250425,9
140250557,5.6666665
140250565,8
140250832,7.2727275
140250875,8
140250913,7.8
140250948,7.4
140250964,8.333333
140250972,6
140251022,6.5
140251081,8
140251235,7
140251308,8
140251324,8
140251367,8.75
140251383,8
140251456,6.75
140251464,7
014025157X,9.5
014025160X,8
140251618,9
140251766,9
140251820,6
140251839,8
140251960,8
140252088,7
140252258,8
014025238X,6.3333335
014025241X,6.5
140252479,7
140252517,6
140252525,8
140252622,8.75
140252657,9
014025272X,7
140252738,7.5
140252800,7.6
140252924,7.5
140252991,8
140253033,3
140253173,8
140253483,7
14025358,8
140253580,8
140253602,6.6666665
140253874,6
140253971,8
140254188,5.6666665
140254250,5
140254277,8.333333
140254420,8
140254447,6
14025448,5
014025448X,7.7710843
140254501,7
140254528,9
140254544,8.090909
1402545440,8
140254560,4
140254587,7.25
140254749,8.666667
140254757,8
140254900,7.5
140255087,8.3
140255095,5
140255109,7.6
140255117,8
140255125,7.5454545
140255257,10
140255362,9
140255370,7
140255559,7.6666665
140255621,5
140255702,10
140255745,6
140255788,8.2
014025580X,9
140255826,8
140255842,8
140255850,6
140255869,8
140255885,5
140256024,5
140256091,5
140256180,7
140256334,8.5
140256342,9
140256350,9
140256369,7.857143
140256385,8
140256407,7.5
014025644X,8.333333
140256725,10
140256792,8
140256946,7.5
140256989,4
140257144,9
140257233,7
140257314,7
140257349,8.666667
140257357,6
014025739X,7
140257462,6.5
140257683,6
014025773X,5
140257829,7
140257934,7.84
140258132,7.5
140258175,5
140258221,10
140258256,8
140258345,6.25
140258361,7
140258418,7.6666665
140258426,7
140258507,4
140258515,7
140258566,7.6666665
140258574,8.75
140258582,9.333333
140258590,10
140258604,10
140258612,9
140258795,7.875
140258809,8.333333
140258817,6
140258825,9
140259104,7.5
140259112,7.5
140259198,7.6
140259244,7
140259260,1
140259449,9.5
014025949X,10
140259627,9
140259643,9
140259708,5
140259740,9
140259880,8
140259988,10
140260021,5
140260137,9
140260145,7
014026020X,8
140260234,10
140260307,8.666667
140260404,5.714286
140260471,9
140260498,9.5
014026065X,6.5
140260668,8
140260676,8
140260846,8.5
140260897,7.5
140261028,10
140261249,5
140261346,10
140261494,9
140261524,9
140261540,8
140261737,8
140261770,7
140261893,8
140261907,7
140261982,3
140262032,7.3846154
140262156,7
140262385,8
140262474,7
014026261X,6
140262636,7
140262776,7.5
014026289X,10
140263179,4
140263349,10
140263357,8.8
140263438,8
140263454,7
140263500,7.5
140263535,8
140263543,8
140263594,7
140263616,10
140263691,6.5
140263942,6.3333335
140264086,7
140264132,7
140264183,8
014026437X,8
140264450,8
140264604,3
140264639,8
140264728,8
140264736,8.25
140264795,7.266667
140264892,9
140265120,7
140265139,8
140265155,3
140265503,10
140265686,7.96
140265716,8
014026583X,5.6666665
140265848,7.3333335
140265856,8
014026597X,9
140265988,8.043478
014026598B,9
140266070,7
140266232,8
140266240,5
140266259,7.25
140266267,7
140266402,8
140266445,7
140266496,6
140266615,10
140266712,4
140266771,7.6153846
140266801,6
140266836,7
140266844,8
140266909,8
140266917,7
140266925,7
140266933,8.5
140267239,7.75
140267352,9
140267441,4
140267557,7
140267581,4
014026759X,8
140267646,10
140267670,7.3333335
140267697,7.6666665
140267727,10
140267751,10
140267808,7
140267832,6.5
140268014,5
140268022,5.5
140268189,8
140268197,7
140268316,9
140268340,8
140268448,8
140268596,7
140268626,8
140268642,7
140268693,10
140268812,6
140268863,8.454545
140268901,9
140268944,7
140269444,10
140269630,5.3333335
140269711,7
140269886,8
14026992,7
140269940,7
140270043,9
140270051,8.5
140270078,7
140270361,7.8333335
140270590,7.9583335
140270744,7
140270884,6
140271023,10
1402711295,7
140271287,8.428572
140271295,7.8
140271414,8
140271457,3
140271562,8
140271589,7.3333335
014027166X,6.4
140271783,7
140271791,6.8333335
140271805,6.875
140271813,6.8333335
140271910,6.5
140271937,7
140272011,9.333333
140272038,8
140272062,9
140272100,6.6666665
140272119,7.5
140272178,8.25
140272224,5
140272232,5
140272348,7.6666665
140272658,7.733333
140272674,10
140272798,7
014027281X,10
140272828,5
140272917,5
140273255,6
140273824,10
140273913,6.857143
014027393X,5
140273980,10
140274057,6.5
140274065,7
014027409X,7
140274111,8
140274146,7.25
140274154,7.5454545
140274162,8.6
140274170,7
140274189,9
140274243,5
140274286,8
140274294,8.25
140274316,8
140274367,6
140274375,7.5
140274405,5
014027443X,9
140274634,7.5
140274685,9
140274723,8
140274782,7.181818
140274839,8
014027491X,10
140274928,7
140274979,8.5
140274987,6
140275002,8
140275010,7.888889
140275118,8.666667
140275126,8
140275169,1
140275290,8.6
140275363,9.4
140275371,8
140275398,8
140275428,7
140275517,9
140275525,7
140275592,8
140275657,7.5
014027569X,8
140275843,6
140275886,7
140276009,9.333333
140276106,9
140276157,8
140276203,5
140276238,8.428572
140276300,9
140276319,6
140276335,6.7
140276343,5
14027635,7
140276351,5
140276424,8
140276432,6.6666665
140276513,6
140276521,6.3333335
140276610,8
140276726,8
140276777,9
140276823,7
014027684X,6.8333335
140276904,6.75
140276947,7
140276955,10
140277021,5
014027703X,7.5
140277269,8
140277374,8
140277439,8.7
140277447,8.166667
140277471,9
140277544,8
140277609,8
140277714,5
140277722,8
140277749,8.8
014027782X,7
140278028,8
140278206,7
140278303,6
140278575,10
140278702,6
140278729,5
140278737,9.25
140278753,9
140278761,9.5
014027877X,10
140278788,9
140278796,8
140278826,6.642857
140278915,7.3333335
140279040,10
140279091,7
140279105,6
140279261,6
014027927X,7.133333
140279288,7.6363635
140279407,6.8
140279415,6
014027944X,7.5
140279474,9
140279601,3
140279679,8
140279687,6.5
140279725,7.5
140279806,5
140279865,7
140280053,4
14028009,8
014028009X,7.7328243
140280103,6.75
140280146,8
140280189,9
140280197,6
140280200,6
140280243,7.8333335
140280251,4
140280359,9
140280391,4
140280413,5
140280464,8.047619
140280499,7
140280510,4
140280529,5
140280553,7.2777777
140280650,9
140280685,6
140280693,7
014028088X,5.75
140280898,9
140280952,6
140280960,5
140281061,8
140281118,8
140281231,10
014028124X,7.5
140281290,8
140281436,9
140281487,5
140281517,7.5
140281525,7
140281533,5
014028155X,7.6666665
140281568,8
140281584,8.5
140281622,7.5
140281630,7.75
140281649,8
140281770,8
140281878,5.75
140281908,8
140282025,5.5
140282033,8.166667
014028219X,8
140282203,8
140282548,8
140282556,4
140282564,7
140282580,8.5
140282599,8.5
140282602,9.5
140282629,6
140282653,7.5
140282688,8.75
140282696,8
140282734,9.5
140282769,9
140282777,7.625
140282785,7
140283293,8.5
140283307,8.333333
140283315,5
140283323,9
014028334X,9
140283358,10
140283374,7.5
140283404,9
140283463,7
140283579,9
140283587,7
140283595,8.5
140283641,9
140283684,7
140283706,8.75
140284052,7
140284079,7
140284087,9
140284095,9.5
140284125,6.3333335
140284206,5
140284222,4
140284249,10
014028446X,8
140284583,8
140284621,8
140284656,7
140284745,6
140285008,8
140285105,8
140285121,5.5
140285164,8
140285202,6.6666665
140285210,8.5
140285393,8
140285555,6
140285563,6.5
014028558X,8
140285598,7.5
140285601,8
140285660,9
140285679,8.142858
140285822,5
140285946,8
140286012,7
140286233,9
140286276,7.1666665
140286349,7
140286357,7.3333335
140286446,5
140286497,8
140286527,10
140286691,10
140286764,9.5
140286780,9.5
140286802,5
140286810,5
140286829,6.5
140286853,8
140286977,8
140287000,6
140287019,7
140287078,7
140287248,9.25
140287361,7
140287434,7.2
140287442,6.4
140287574,8
140287663,5
140287698,8
140287760,6
140287817,10
140287868,8
140288090,4
140288104,8
140288112,5.5
140288236,7.5
140288481,5.6666665
140288503,8.25
140288511,5
014028852X,7.5
140288546,9.5
140288570,7
140288694,7
140288767,8
140288856,7
140288864,6.5
140288910,6.6666665
140289011,7
014028902X,8
140289208,8
140289216,10
140289526,7.3333335
140289690,7.3333335
014028990X,10
140290117,5
140290133,8
140290214,8.75
140290338,9
140290362,8
140290567,7
140290583,7
140290656,7.6666665
140290729,10
140290737,9
140290771,8
140290788,9
140291016,5
140291040,10
140291091,7.3333335
140291121,8
140291628,7
140291660,9
140291768,9
140291806,7.1666665
140291814,7.5
140291822,9.5
140291830,9
140291865,4.5
140291873,6.75
014029189X,7
140291903,8.333333
140291911,8
014029192X,8
140291954,10
140291962,9
140291997,10
140292098,9
014029211X,8
140292128,8
140292179,4
140292195,9
140292225,6
140292608,7.6666665
140292683,8.5
140292756,10
140292810,7
014029287X,2
140292918,8.333333
140292926,8
140292942,9
140292969,7
14029302,8
140293027,6.25
140293108,10
140293248,6.909091
140293353,6.75
140293418,7.5
140293442,7
140293450,8.307693
140293469,8
140293744,8
014029399X,8
014029404X,9
140294058,10
140294120,8
140294236,4.6666665
140294244,5
140294295,9
140294309,10
140294317,8
140294481,5
140294562,8
140294600,7.5
014029466X,9
140294813,8
140295054,5
140295143,9
140295232,7
140295305,8
140295321,5
140295569,7.923077
140295577,6.4
140295712,8
140295798,10
140295933,5
140295941,6
140295984,6
140296085,9
140296093,6.5
140296131,7.8
140296239,7
14029628,5
014029628X,7.8625
140296298,7.4545455
140296301,9
140296395,8
140296409,8.272727
140296441,9
014029645X,10
140296468,6.5
140296476,6.25
140296530,8.333333
140296581,10
140296689,9
140296697,8
140296786,8
140296794,8
140297049,7
140297162,8
014029726X,5
140297405,4.6666665
140297448,7
140297774,7
140297790,10
140297847,8
014029791X,7.5
014029807X,9
140298169,5.5
140298339,7.25
140298363,5.6666665
014029838X,5
140298401,6
140298460,7
140298479,7.539823
140298487,6.25
140298517,8.2
140298533,8.4
140298541,10
014029855x,8
140298606,5
140298622,6
140298681,6
140298770,8
140298924,9
140299092,9
140299254,3
140299599,7.3333335
014029984X,7.6666665
140299904,3
140299939,8
140299947,6.5
1403.01437,9
1403.02042,7
01403.0746X,8
01403.4294X,7
1403.48107,9
1403.69368,10
1403.78278,7
01403.8572X,8
140300414,9
140300600,7.75
140300694,8
140300724,8
140301100,9
140301291,8
140301461,5
014030147X,5
014030164X,5
140301690,8
140301720,8
140301852,9
140301895,8
014030200X,10
140302069,4
140302239,9
014030231X,10
140302379,8
140302395,9
140302441,7
140302697,6
140302727,7
140302980,10
0140302???,8
140303006,8
140303154,8
140303456,8
140303480,10
140303499,8
140303618,9
140303626,8
140303804,9
140303812,6
014030438X,9
140304452,6.5
140304762,6.5
140304770,7.8
140304819,7
140305025,9
140305106,8
140305289,7
140305394,8
140305602,8
140305793,9
140305998,10
140306013,8
140306018,8
140306323,8
140306609,8.5
140306765,8.5
140306854,9
140306897,6.75
140306943,8
140307257,10
140307451,8
140307532,7
140307559,7
140307656,8
140307796,10
014030780X,8
140307990,7
140308369,8
014030892X,8
140308938,9
140308946,8.333333
140308989,8
140309012,8
140309098,9
140309128,9
014030925X,5
140309276,10
140309314,9
014030942X,9
140309578,8.25
140309586,7.3333335
140309594,9
014031010X,10
140310584,10
140310649,10
140310657,10
140310665,8
140310754,7.3333335
140310878,6
140311084,9.666667
140311181,7
140311424,6
014031167X,8
140311750,9
140311823,7
140312587,8
140312609,7.3333335
140312641,8
140312910,8
140312951,9
140313478,5
140313486,8.5
140313834,8
140313842,5
140314067,8.333333
140314121,8
140314202,8.4
140314466,10
140314512,8
140314547,7
140314601,7.625
140314644,7
014031492X,8
140314946,10
140315411,9
140315446,7
140315454,8
140315519,8
014031556X,6
140315977,9
140315993,8
140316426,8
140316450,10
014031671X,7
140316728,8.8
140316841,8
140316884,9
140317007,4
140317163,7.5
014031718X,8
140317309,9
140317538,7
140317937,8.5
140318240,7
140318291,7
140318305,6
140318356,8
140318437,7.6666665
140318720,8
140318909,8.8
140319077,9
140319298,9.5
140319328,8.333333
140319654,7.75
140319808,7
140320008,7
140320237,7
140320407,7
140320431,7
140320865,6
140320970,9.6
140320997,8
140321098,10
140321497,9
140321632,10
140321691,10
140321772,8
140322051,8.333333
014032223X,8
014032240X,8
140322574,7
140322663,8
014032268X,9
140323058,10
140323090,10
140323856,10
140324364,8
14032462,9
140324623,8.833333
14032495,8
014032495X,8.5
140325077,9
014032528X,5
140325670,9.5
140325697,10
140326316,8
140326499,7
140326715,5
140326804,8.5
140326839,8
140327088,5
140327134,9
014032724X,9.5
014032724x,10
01403274X,9
140327541,7
14032759,7
140327592,8
140327746,7
140327770,6
140328254,10
140328262,10
014032853X,8
140328629,8.4
140328696,8.5
014032870X,7.4
14032871,10
140328718,8.666667
140328726,9
140328734,8.333333
14032874,8
140328742,8.428572
140328769,9
140328777,10
140328831,7.5
140328882,7
140329692,9
140331123,8
1.40E+11,7
140340009,5
140340017,6
014034019X,8.8
140340203,9.2
140340262,5.5
140340343,8.75
140340440,7
140340564,9
140341315,7
140341412,10
140341447,9
140341587,2
140341625,6
14034178,10
140341900,8
140342133,9
140342540,8
140342621,5
140342893,10
014034294X,8.541667
140343113,7
140343385,5
140343563,5
140343717,10
140344438,9
140344454,8
140344764,6
140344810,9
140345329,6
140345353,7.952381
014034537X,8
014034540X,7
140345787,5
140345809,7
140345825,10
140345973,10
140346031,6.25
140346147,5
140346260,7
140346341,9
140346406,9.333333
140346414,8.2
140346740,9
140346848,10
140346996,10
140347283,7
140347720,8
140347925,8
140347968,8
140348034,10
140348107,8.444445
140348263,5
140348522,6.5
140348875,7
140348913,10
140348921,7
014034893X,8.125
140349057,8
140349189,8
140349332,9.5
140349812,8
014034991X,8.307693
014034991x,9
140350039,10
140350047,8.8
140350063,9
140350071,8
014035008X,6.3333335
014035011X,6
140350136,9.5
140350144,7
140350152,10
140350160,9
140350179,5
140350195,10
140350233,8
140350284,8
140350292,10
140350322,8
140350357,8
140350381,8.5
014035039X,8.666667
140350411,5
140350454,8
140350489,8
140350543,7
140350667,10
140350705,10
140350713,7.5
140350756,10
140350764,10
140350888,8
140350950,8
140351000,9
140351019,9
140351116,10
140351124,9
140351140,8
140351213,5
140351256,7
140351280,10
140351302,9
140351310,6.6666665
140351329,7
140351485,8.5
140360026,8
140360344,8
140360352,7.3333335
140360468,8
014036059X,7.3333335
140360778,8.333333
140360808,10
140360999,10
140361219,8.125
14036122,10
140361227,8.666667
140361235,7.3333335
140361243,8.333333
140361707,8.5
014036174X,7
140362505,10
140363033,6.25
140363254,7
014036336X,8
140363386,7
140363424,8
140363610,7.5
140363696,6
140363726,8.5
140363807,10
140363912,7.6666665
140364013,6
1403645521,10
140364838,6
140365702,5
140365869,7
140365893,8.5
140365931,10
140365990,8.666667
140366016,8.5
140366296,6
140366504,9
140366637,8
140366660,8.5
140366679,7.5
140366687,8.75
140366695,7.5
140366709,7.4
140366717,8.666667
140366725,9.5
140366733,7.6666665
140366741,8.666667
014036675X,8.333333
140366768,7
140366776,7
140366784,8.538462
140366814,5
140366822,8
140366830,8
140366849,9
140366857,8
140366865,7
014036689X,10
140366903,7
014036692X,7
140366938,7
140366946,5.5
140366954,8
140366962,9.5
140367047,9
140367055,8
140367063,6
014036708X,8
140367098,8
014036711X,8.5
140367144,7
140367152,7.8333335
140367160,8.5
140367187,8
140367209,8
140367217,7.5
140367292,8
140367357,8.333333
014036739X,7.5
140367411,10
140367438,7
140367454,5
140367462,5.75
140367470,8
140367489,10
140367497,7
140367527,8
140367535,8
140367586,8
140367616,7
140367624,9
140367659,7.6666665
140367772,9
140367853,7
140368027,6
014036806X,7
140368132,8
140368205,6
140368213,6
140368329,8
014036837X,10
140368507,6
140368558,8
140368965,5
140369007,8.666667
140369104,5
140369252,7
140369260,10
140369953,7
140369988,5
140370072,5
140370234,10
140370900,6.5
140370951,9
140370994,9
140371036,9
014037129X,6.5
140371303,7
140371516,7
140371540,10
140371567,7
140371583,8
140371613,8
140371745,8
140371761,6
140371796,4
140371915,5
140372318,9
140372334,8
140372482,9
140372520,7
140372628,7
140372954,8
140373195,8
140373209,5
140373365,8
140373373,8.625
140373489,7.75
140373624,9.5
140373772,8
140373896,7
140374248,8.380953
140374388,8
140374396,8
140374426,9
140374493,5
140374515,7
014037454X,7.5
140374558,9.5
140374566,10
140374663,8
014037468X,9.5
140374965,6.5
140375015,5
140375147,9
140375155,9
140375333,9
140375406,10
140375430,7.5
140375511,8
140375716,8
140375880,5
140375899,5
140375953,8.25
140375988,7.3333335
014037616X,7
140376240,4
140376283,7.3333335
140376372,8
140376380,7
140376402,9.5
140376410,8.166667
140376577,6.5
140377611,8
140377700,9
140377883,7
140377972,8
140378006,10
140378154,6
140378189,9
140378251,6.5
140378278,8.5
140378502,5.5
140379118,6
014037938X,8
140379851,10
140380000,9
014038006X,8.333333
140380191,5.6666665
140380221,9
140380302,9
140380353,8
140380361,9
140380434,6
140380442,7.5
140380469,7.5
140380523,8
140380698,6.5
140380736,8
140380868,8
140381394,9
140381481,5
140381600,10
014038166X,8
140381686,5
140381740,5
140381848,6.6666665
140382033,7
140382348,9
140382534,8
140382585,6
140382623,5.5
140382658,5
140382674,7
140382798,10
140383093,8
140383271,7
140383344,2
140383352,5
140383514,10
140383948,7.5
140384235,8
014038426X,5
140384413,7
140384510,7.25
140384774,7.5
140385118,9
140385320,9.5
140385398,10
140385479,10
140385525,5
014038555X,2
140385606,8
140385614,10
14038572,10
014038572X,8.102041
140385797,5
014038586X,5
140386262,8
140386270,6
140386335,8.863636
140386351,7.818182
140386572,7
140386637,8
140386645,8.04
140386726,7
140386742,6.6666665
140386882,7.3333335
140386955,10
140387145,8
140387498,6
140387528,6
014038779X,8
014038801X,8
140388079,7
140388346,8
140388419,8.5
140388982,10
140389059,6
140389113,5
140389652,10
140389660,8.666667
1403896660,7
140389709,9
140389989,6.5
140390022,6
140390030,8
140390057,8
140390065,6
140390081,9.5
140390103,8.6
14039012,8
014039012X,8.571428
140390138,6
140390162,7
140390170,8
140390197,7.625
140390219,7
140390227,7.714286
140390243,8
140390251,8
014039026X,8
140390286,7
140390316,8.444445
140390332,6.6666665
140390340,10
140390375,6
140390448,8
140390464,7.8
140390480,8.666667
140390502,5
140390510,5
140390529,5
140390537,4.5
140390545,4.5
014039057X,6.6666665
140390596,9
140390618,6
140390642,10
140390693,7.285714
140390707,8
140390715,7
140390790,7
140390812,6
140390839,8.857142
140390847,6.142857
140390871,5
014039091X,7.5
01403D1852,10
1404.42812,8
1404.45188,8
014040001X,10
140420150,5
140420428,9
140420649,7
014042136X,9
140421483,10
140421610,6
140421726,4
140421750,7
140421998,7.75
140422005,9
140422072,9
140422099,10
140422102,8
140422137,10
140422153,10
140422161,9
140422226,10
140422250,8
140422536,6
014042346X,6
140423486,8
140423524,5
140423532,4
014042363X,3
140423818,7
140423893,10
140424261,7
014042427X,7
140424385,9
14043.0148,8
14043.0725,8
140430016,8
140430024,8.6
140430032,7.125
140430040,6.6666665
140430059,8.428572
140430067,9
140430075,6.25
140430083,7
140430091,6.3333335
140430105,7.769231
140430113,8
140430121,5
140430148,7.7
140430156,8
140430164,8.818182
140430172,7.1666665
140430180,9.166667
140430199,10
140430210,6
140430229,6.3333335
140430253,8
140430261,5
140430296,5
014043030X,5
140430318,10
140430350,7.1666665
140430369,8
140430377,5
140430407,7
140430415,5
140430423,7.125
140430431,7
014043044X,8
140430466,6.5
140430474,7.7777777
140430482,9.333333
140430520,8
140430539,7.6666665
140430547,8.333333
140430555,7
140430571,6.6666665
140430636,7.8
140430644,7.3333335
140430687,6
140430695,9
140430725,8.787879
140430741,8.75
014043075X,7
140430784,8.6
140430822,8.5
140430865,7
014043089X,8
140430903,10
140430954,7.3333335
140430962,8.272727
140430970,8
140430997,8
140431020,6.3333335
14043103,9
140431047,9
140431071,9
014043108X,10
140431136,9.5
140431144,6.5
140431179,7.1666665
140431187,7.3333335
140431209,7.6666665
140431217,7
014043125X,7
140431268,8.5
140431314,6.8
140431357,8.181818
140431373,8.333333
140431381,8
140431403,6
140431454,7
140431543,9.5
140431586,7
140431594,8
140431683,10
014043187X,8.454545
140431896,9
140431950,6
140432035,6.3333335
140432051,7.3333335
140432108,10
1404321241,7
140432132,5
140432183,10
014043223X,8
140432248,8
140432256,8
140432264,6.4
140432280,8
140432329,8
014043237X,7
140432442,9
140432493,10
140432582,8
140432620,6.3333335
140432639,9
140432671,5
014043268X,9.5
140432728,9
140432809,4
140432825,7
140432914,6
140433023,6
140433112,6
140433139,7.75
140433171,10
140433309,8
140433384,8
140433473,5
140433627,7.714286
140433635,7
140433716,7
140433813,8.666667
140433821,8.5
140433864,7
140433880,6.6
140433929,9
140434003,8.818182
140434011,7.2
140434089,7
140434119,10
140434127,6
140434135,7.75
140434143,8.666667
140434151,6.875
140434186,7.5833335
140434224,8
140434232,9
140434240,7.5
140434259,7.7777777
140434267,9.5
140434275,9
140434305,8
140434461,7
140434585,9
014043464X,9
140434674,9.6
140434682,3
140434747,7.6666665
140434763,6
140434801,9.5
140434895,6.857143
140434917,10
140434941,7
140434976,10
140435026,1
140435123,8.5
140435131,8
140435158,5
014043528X,10
014043531X,6
140435387,6.3333335
140435476,10
140435530,9
140435549,6.3333335
140435883,7
140435905,7
140436030,7
140436081,7.5
140436197,8
140436499,7
140436669,7.5
140436677,10
140436782,10
140436790,10
140436847,7
140436936,7.5
140436952,8
140436995,10
140437010,8
140437177,7
140437266,7
140437304,7.5
140437312,7.6666665
140437347,7.5
140437363,8
140437371,10
140437487,10
140437495,10
140437509,8.4
140437533,4
140437592,5.5
140437614,8
140437649,9
140437681,6.5
014043769X,8
140437843,8.5
140437851,9
014043786X,3
140437878,10
140437886,10
140437894,7.6666665
140437932,5
140437967,8
140439072,7
140439161,9
140439269,10
140439358,10
14044.01,8
140440011,6.8333335
140440038,8.571428
140440046,7.633333
140440062,7.5
140440100,7.8
140440127,8
140440143,10
140440151,7.7777777
140440178,8
140440186,5
140440224,7.571429
140440232,9
140440240,6.5
140440259,9
140440275,10
140440283,9.333333
140440305,6
140440313,9
014044033X,8
140440348,7
140440356,8.25
140440364,5
140440372,8.714286
140440399,7
140440402,10
140440410,8.538462
140440437,10
140440445,9
140440453,9
014044047X,10
140440488,6.75
140440496,10
014044050X,7.6666665
140440518,8.5
140440526,5
140440542,7
140440550,8
140440585,8.333333
140440615,7
140440704,7
140440720,8.666667
140440755,6.5
140440844,6.5
140440879,7
140440887,6
140440895,5
140440925,6.75
140440968,8
140440984,6.3333335
014044100X,8.142858
140441026,5
140441034,7.6666665
140441077,7.714286
140441123,10
014044114X,5
140441166,8.5
140441182,9
140441190,10
140441204,7.142857
140441212,7.714286
140441239,7
140441247,8
140441263,8
140441298,8.5
014044131X,7.8333335
140441328,8
140441336,7
140441379,8
140441387,9
140441409,8.2
140441417,8
140441433,7.6666665
014044145X,1
140441468,7
140441476,8.166667
140441506,10
140441522,10
140441549,8.5
140441573,6
140441581,8
140441603,7
140441611,8
140441638,7
140441654,7.071429
140441697,6
140441700,9
140441719,3
014044176X,8
140441824,8
140441832,7
140441840,9
140441875,9
140441905,10
140441921,6.6666665
140442014,8
140442081,6
140442103,10
140442162,5
140442189,8
140442200,7
140442316,7.6666665
140442332,10
140442383,5
140442391,5
140442413,9
014044243X,7
140442464,8
140442472,7
140442480,7
140442529,8.6
140442537,10
140442553,9
140442596,8
140442618,7
140442634,7
140442685,6.3333335
140442693,7.5
140442731,8.333333
014044274X,9
140442758,7
140442847,10
140442863,5
140442871,8
140442898,7
014044291X,7
140442936,7
140442952,6.5
140442979,8.75
140443002,7
140443061,7
014044307X,7
014044310X,10
140443118,10
140443150,4
140443223,7.75
140443231,10
140443258,8
140443274,7.5
140443290,8.333333
140443312,10
140443339,7
140443355,8.5
140443398,9
140443428,7
140443487,1
140443533,10
014044355X,9
140443584,7
140443592,7
140443606,9
140443614,7
140443622,5
140443843,9
140443878,8
140443991,7
140444017,7
140444084,9
140444165,8.666667
140444173,7.8333335
140444211,8
140444254,7.857143
140444289,8.5
140444300,7
140444335,10
140444408,9
140444416,8.142858
140444424,8
140444432,8
140444440,8
140444491,7.5
140444564,10
140444572,8.5
140444599,10
140444610,7
140444637,6
014044470X,7
140444742,10
140444785,5
140444866,8
140444955,10
014044503X,8.5
140445056,9
140445080,10
140445137,8
140445145,7.3333335
014044517X,10
140445269,8
140445285,7.75
140445323,6.5
014044534X,6
140445420,5
140445471,10
140445560,7.5384617
140445587,5
140445617,6.5
140445625,4.6666665
014044565X,5
140445684,10
014044582X,9.333333
140445927,9.5
140445943,7
140445978,9
140446028,9.5
140446087,10
014044615X,8.4
140446273,10
014044629X,8.5
140446362,9
140446389,6.5
140446494,9
140446745,10
014044694X,8
140446990,7
140447040,6
140447113,10
140447210,5
014044730X,10
140447385,10
140447520,8
140447695,10
140447806,8
140447954,8
140448187,7
140449000,7
140449094,7
140449116,10
140449124,7.888889
140449132,9
140449159,9
140449175,9
140449272,10
140449280,10
140449302,8
140449310,9.5
140450181,6
140450211,8
014045022X,7.9
140450238,9
140450270,8
140450289,4
140450351,7.5
014045036X,7
14046.1892,8
140460179,10
140461043,8
140461787,5
140461965,5
140462597,2
140463259,8
140464530,6
140465340,7.6666665
014046641X,7
140467130,7.5
140467513,6.5
014046753X,8
140467629,5
140468374,8
140468463,9
140468552,6.5
140468811,10
014046882X,8
140469303,8
140469583,10
140469621,10
140469710,8.5
140469788,7
140469907,6.5
140471170,9
014048.003X,9
14048.0048,9
14048.1354,8
140480161,5
140480285,3
140480331,8
140480536,6
140480617,6.75
140481036,7
140481346,6.6666665
140481354,5
140481389,7.869565
140481397,8
140481400,7
140481532,8
140481605,9
140481621,10
140481702,9
140481753,7.6666665
140481850,8.666667
140481877,7
140482091,9.333333
140482121,7
140482202,8
140482377,6
014048244X,9
140500022,9
140501533,5
014050169X,9
140501711,10
014050172X,6.5
140501738,7.571429
140501800,9.5
140501827,8.5
140501983,9
140501991,9
140502017,5
140502068,9
140502076,6.5
140502114,9
140502181,6.5
014050222X,8
140502343,9
140502408,5
140502416,8
140502602,8
140502610,7.5
140502750,9
140503420,10
140503463,5
140503528,9.5
140503773,5
140503838,10
140503846,9
140504176,10
140504230,8.5
140504354,9
140504419,9.5
014050446X,8.5
014050463X,6
140505091,8
140505288,7
140505393,8.5
140505512,8
140505598,8
14050566,9
140505660,7.3333335
140505865,9.4
140506004,8
140506233,6
140506322,9
014050639X,9.6
140506616,5
140506829,7
140507280,5
140507361,6
014050740X,6.5
140507922,10
140507930,10
140508414,10
140508910,5
140509844,5
140510052,7
140510125,5
140510133,9
140510141,6
140510168,9
140510265,8
014051032X,10
140510397,5
140510796,7
140510958,5
140511008,1
140511237,8
140511245,8
140511474,5
140511520,8
140511687,5.5
140511849,5
014051192X,9
140512047,10
140512101,9
140512276,6.5
140512497,7
140512535,8
140512616,10
140512772,10
140512810,8
140512926,10
140513124,10
140513221,6.25
140513280,8
140513299,10
140513639,8
140513760,10
140514058,5
140514570,5
140522808,6
140523693,10
140540539,9
140541128,9
140541594,10
140541934,8
140542426,5
140542523,9
140542655,6
014054285X,9
140543090,8
140544011,9
140544518,9.666667
140544992,8
014054514X,8
014054545X,8
140545506,9
140546235,5.5
140546499,6.5
140546529,5
140546642,8
140546898,9
140546936,9
140547126,9
140547452,10
140547533,6
140548483,10
140548572,9
140548602,8
140549056,10
140549714,9
140549951,10
140550836,10
140551352,10
140552286,7
